"Origin","Dest","number_of_flights","total_arrival_delay_minutes","total_dep_delay_minutes","number_of_delays"
"SAT","PHX","2146","14582","18111","346"
"SAT","SLC","366","1561","2816","53"
"SAT","STL","1770","8534","9268","235"
"SAT","TPA","366","4365","8183","108"
"SAV","ATL","3248","23789","28067","621"
"SAV","CLT","2053","7786","4267","250"
"SAV","EWR","76","444","662","13"
"SBA","LAX","981","9923","8353","191"
"SBA","SFO","1620","27695","32611","451"
"SBN","CVG","275","1225","782","39"
"SBN","DTW","388","-111","714","35"
"SBN","PIT","1353","5914","3616","164"
"SCC","ANC","364","3237","3661","64"
"SCC","BRW","18","341","441","6"
"SDF","ATL","2493","17376","20970","430"
"SDF","BHM","712","3045","4356","75"
"SDF","BNA","350","1045","1013","23"
"SDF","BWI","1436","14298","16644","248"
"SDF","CLT","1097","7788","5145","178"
"SDF","CVG","1087","7497","7574","148"
"SDF","DCA","458","1602","687","51"
"SDF","DFW","1459","786","6092","177"
"SDF","DTW","1158","7456","8679","175"
"SDF","EWR","3","98","122","1"
"SDF","IAH","675","-1184","1949","79"
"SDF","LAS","64","1034","911","20"
"SDF","LEX","361","3153","2815","93"
"SDF","LGA","310","11620","9080","170"
"SDF","MCO","1234","16921","17899","320"
"SDF","MDW","2355","19987","19281","354"
"SDF","MEM","364","-509","498","18"
"SDF","MSP","725","410","3672","83"
"SDF","ORD","318","2977","3561","64"
"SDF","PHL","366","1820","824","49"
"SDF","PHX","365","-1437","406","28"
"SDF","PIT","1423","9120","5337","222"
"SDF","STL","3298","32114","38178","587"
"SDF","TPA","365","784","2403","40"
"SEA","ABQ","366","-333","4759","51"
"SEA","ANC","6889","109929","102021","2457"
"SEA","ATL","1432","3770","8236","215"
"SEA","BNA","366","-413","3163","44"
"SEA","BOI","1071","14022","14591","265"
"SEA","BOS","442","-2397","3638","67"
"SEA","BUR","1035","11121","12384","246"
"SEA","CLE","168","-57","1205","29"
"SEA","CLT","569","296","3103","77"
"SEA","CVG","729","-1561","1706","66"
"SEA","DEN","3715","49246","42685","976"
"SEA","DFW","3881","6916","23827","519"
"SEA","DTW","1803","-1071","10383","206"
"SEA","EWR","1245","2505","10126","210"
"SEA","FAI","671","16059","13688","330"
"SEA","GEG","4666","54586","57716","1139"
"SEA","HNL","700","1600","9711","113"
"SEA","IAD","1203","8365","13058","265"
"SEA","IAH","1717","3410","10969","249"
"SEA","JFK","916","968","4899","159"
"SEA","JNU","1210","17492","19579","369"
"SEA","KTN","1339","23069","24794","420"
"SEA","LAS","3993","61288","56998","1208"
"SEA","LAX","8646","130242","111488","2739"
"SEA","MCI","366","660","3418","52"
"SEA","MEM","823","-6108","1615","46"
"SEA","MIA","366","2733","5881","63"
"SEA","MSP","2963","4325","21276","441"
"SEA","OAK","5212","62599","68780","1307"
"SEA","ONT","1539","28444","26645","513"
"SEA","ORD","4510","56416","63081","1193"
"SEA","PDX","1888","12186","15204","297"
"SEA","PHL","1080","5621","6075","232"
"SEA","PHX","5065","75385","72082","1528"
"SEA","PIT","1032","4379","7068","177"
"SEA","PSP","542","8625","5975","181"
"SEA","RNO","2622","21922","29766","488"
"SEA","SAN","2800","35337","32716","792"
"SEA","SFO","8331","181343","171343","3044"
"SEA","SIT","126","1780","1560","42"
"SEA","SJC","4956","51356","55112","1189"
"SEA","SLC","3268","14293","22854","415"
"SEA","SMF","3254","39627","42267","887"
"SEA","SNA","3278","24815","23374","655"
"SEA","STL","1934","17486","21045","417"
"SEA","TUS","183","3234","2674","78"
"SFO","ANC","125","4128","3348","71"
"SFO","ATL","2913","25899","37023","682"
"SFO","AUS","366","4527","4409","103"
"SFO","BDL","366","7100","6894","136"
"SFO","BOI","1449","28069","30559","455"
"SFO","BOS","3464","32305","36606","905"
"SFO","BUR","4356","70646","72948","1218"
"SFO","BWI","1188","8474","11580","261"
"SFO","CLE","949","-1292","4073","118"
"SFO","CLT","1255","627","2298","181"
"SFO","CVG","1451","4912","10615","259"
"SFO","DEN","4786","58345","60061","1295"
"SFO","DFW","5407","47589","57429","1123"
"SFO","DTW","1473","8852","17831","306"
"SFO","EGE","95","5929","6018","45"
"SFO","EUG","1780","33715","38908","591"
"SFO","EWR","4331","54455","57180","1281"
"SFO","GEG","840","19178","21992","324"
"SFO","HNL","2562","37554","58103","737"
"SFO","IAD","2918","27023","43071","767"
"SFO","IAH","3071","22798","29552","613"
"SFO","JFK","5929","44662","62172","1393"
"SFO","KOA","366","6901","8532","118"
"SFO","LAS","5637","119934","114676","1880"
"SFO","LAX","15967","282305","257874","4811"
"SFO","LIH","150","-1563","1695","16"
"SFO","MCO","366","6320","7067","127"
"SFO","MEM","822","-1506","3271","104"
"SFO","MFR","926","17675","19998","301"
"SFO","MIA","1464","12847","24922","336"
"SFO","MRY","341","3614","3016","79"
"SFO","MSP","2723","8874","24878","431"
"SFO","MSY","366","5399","4734","132"
"SFO","OGG","815","7452","8739","190"
"SFO","ONT","2161","40385","40323","660"
"SFO","ORD","6901","101637","111408","2104"
"SFO","PDX","5829","87018","104430","1596"
"SFO","PHL","2653","28159","20866","779"
"SFO","PHX","6458","111697","125415","1876"
"SFO","PIT","1355","131","3925","182"
"SFO","PSP","936","13003","12492","262"
"SFO","RNO","1478","31493","33592","505"
"SFO","SAN","7288","132469","144218","2237"
"SFO","SBA","1666","25323","28118","475"
"SFO","SEA","8333","161922","180192","2915"
"SFO","SJC","37","532","587","10"
"SFO","SLC","3051","41989","45282","786"
"SFO","SNA","3826","40118","35020","853"
"SFO","STL","2043","28201","37499","606"
"SGF","STL","2065","1603","6893","208"
"SHV","ATL","724","3065","3913","77"
"SHV","DFW","1090","10371","9234","177"
"SHV","JAN","359","437","361","25"
"SHV","MLU","725","9803","9184","170"
"SHV","STL","622","2809","3021","73"
"SIT","JNU","855","7692","7344","133"
"SIT","KTN","364","3998","4701","63"
"SIT","SEA","91","1813","1815","28"
"SJC","ATL","750","8551","9304","189"
"SJC","AUS","974","10203","6371","204"
"SJC","BOS","1031","2014","5976","213"
"SJC","BUR","2760","35398","36569","749"
"SJC","CVG","273","-9","933","23"
"SJC","DEN","2804","41907","36967","837"
"SJC","DFW","3185","19310","18354","558"
"SJC","EWR","673","-877","3675","111"
"SJC","HNL","245","2513","2694","56"
"SJC","IAD","715","12419","8232","292"
"SJC","IAH","1154","4648","5711","150"
"SJC","JFK","762","16","4881","125"
"SJC","LAS","4622","68052","59862","1404"
"SJC","LAX","10861","181979","166554","3643"
"SJC","MCI","110","2407","2028","55"
"SJC","MIA","17","103","155","4"
"SJC","MSP","964","-427","1738","120"
"SJC","OGG","17","276","374","6"
"SJC","ONT","2452","27180","26558","560"
"SJC","ORD","3838","52138","56690","1052"
"SJC","PDX","4584","40066","46585","908"
"SJC","PHX","4147","27929","29947","647"
"SJC","PSP","163","833","743","22"
"SJC","RNO","2550","29418","30242","605"
"SJC","SAN","5253","67622","63771","1384"
"SJC","SEA","4951","55655","63623","1371"
"SJC","SLC","1335","9427","7189","219"
"SJC","SNA","5450","59180","42779","1131"
"SJC","STL","983","5609","5824","142"
"SJC","TUS","92","1435","1118","25"
"SJU","ATL","1743","8521","11530","342"
"SJU","BDL","366","373","3545","60"
"SJU","BOS","1717","5463","14556","334"
"SJU","BWI","366","971","3048","59"
"SJU","CLE","74","69","452","13"
"SJU","CLT","522","5625","4769","157"
"SJU","CVG","31","794","255","17"
"SJU","DFW","1388","3696","6740","205"
"SJU","DTW","315","5174","6302","94"
"SJU","EWR","2477","4548","20639","422"
"SJU","FLL","1418","8442","9243","236"
"SJU","IAD","453","4404","3836","109"
"SJU","IAH","214","-341","1069","22"
"SJU","JFK","3959","22087","42934","774"
"SJU","LAX","337","3828","2508","106"
"SJU","MCO","1652","11721","10915","278"
"SJU","MEM","126","961","635","35"
"SJU","MIA","3203","23222","26344","536"
"SJU","MSP","41","565","944","12"
"SJU","ORD","1649","19553","20437","452"
"SJU","PHL","1569","12972","9914","419"
"SJU","PIT","366","-1241","-603","32"
"SJU","STL","419","252","1090","68"
"SJU","STT","365","4489","2864","77"
"SJU","TPA","383","3158","1707","66"
"SLC","ABQ","702","5130","5587","124"
"SLC","ANC","851","8159","9731","225"
"SLC","ATL","3234","14524","23021","548"
"SLC","AUS","30","-171","-18","2"
"SLC","BIL","1089","11918","11073","243"
"SLC","BOI","2440","35527","32674","654"
"SLC","BOS","1095","6696","7485","230"
"SLC","BWI","72","232","940","16"
"SLC","BZN","731","4946","5754","136"
"SLC","CLE","12","-385","148","1"
"SLC","COS","722","774","3020","92"
"SLC","CVG","2173","4114","12268","300"
"SLC","DEN","4936","51002","48902","1126"
"SLC","DFW","2914","20755","23097","488"
"SLC","DTW","728","2282","7242","113"
"SLC","EWR","1090","386","12019","191"
"SLC","FCA","721","5002","5369","129"
"SLC","GEG","1463","11246","15582","290"
"SLC","GTF","730","3065","6611","135"
"SLC","HLN","417","1459","2950","63"
"SLC","HOU","30","-379","300","4"
"SLC","IAD","730","-606","3767","98"
"SLC","IAH","1565","8610","9698","267"
"SLC","JAC","91","676","758","18"
"SLC","JFK","973","6643","7127","217"
"SLC","LAS","4740","31773","38620","808"
"SLC","LAX","5192","44210","54615","1152"
"SLC","MCI","1819","7169","11638","279"
"SLC","MCO","730","548","4426","88"
"SLC","MSO","879","3434","5059","134"
"SLC","MSP","2245","9632","16461","375"
"SLC","MSY","724","3309","4676","112"
"SLC","OAK","1085","13960","17011","303"
"SLC","OKC","722","7062","7357","149"
"SLC","ONT","1092","13291","12779","249"
"SLC","ORD","2935","59239","53243","1034"
"SLC","PDX","2882","20946","23887","503"
"SLC","PHL","730","-1826","4461","111"
"SLC","PHX","6028","38490","49096","970"
"SLC","PSC","1088","6142","7564","174"
"SLC","RNO","1761","9427","13233","268"
"SLC","SAN","1826","11774","12109","287"
"SLC","SAT","1094","8318","10423","211"
"SLC","SEA","3269","20907","28113","634"
"SLC","SFO","3047","53446","56547","921"
"SLC","SJC","1326","9961","8250","280"
"SLC","SMF","1457","9514","10541","219"
"SLC","SNA","1452","10566","8830","239"
"SLC","STL","2107","16961","24780","403"
"SLC","TUL","363","4947","5005","96"
"SLC","TUS","364","3398","3990","77"
"SMF","ATL","576","7331","8498","155"
"SMF","BUR","3410","33806","39590","727"
"SMF","DEN","2225","36240","34697","664"
"SMF","DFW","1461","3961","4513","148"
"SMF","IAD","366","1921","1903","70"
"SMF","IAH","482","1900","1737","61"
"SMF","LAS","2622","35483","37876","736"
"SMF","LAX","5229","91325","88454","1858"
"SMF","MCI","295","-1221","1124","16"
"SMF","MSP","944","-3639","3277","107"
"SMF","ONT","3713","39673","42729","801"
"SMF","ORD","1318","24167","23969","420"
"SMF","PDX","1767","18162","23496","435"
"SMF","PHX","3461","23418","27654","514"
"SMF","SAN","3847","45723","48598","962"
"SMF","SEA","3254","39773","49738","900"
"SMF","SLC","1457","4400","5431","138"
"SMF","SNA","1560","12633","9614","257"
"SMF","STL","827","6843","9060","153"
"SNA","ATL","1091","9331","14504","258"
"SNA","DEN","1764","25170","20115","480"
"SNA","DFW","3897","31200","26778","679"
"SNA","DTW","468","-1488","915","59"
"SNA","EWR","976","-2378","1369","126"
"SNA","IAH","1658","6735","2790","228"
"SNA","JFK","60","340","240","11"
"SNA","LAS","3485","23454","19475","495"
"SNA","LAX","31","667","421","11"
"SNA","MSP","1075","-2155","2870","117"
"SNA","OAK","4135","36444","37788","786"
"SNA","ORD","3606","54409","44434","1106"
"SNA","PDX","786","4827","8853","159"
"SNA","PHX","2738","27557","23166","624"
"SNA","PIT","732","-1532","0","75"
"SNA","RNO","517","5157","3579","116"
"SNA","SEA","3276","23240","30811","722"
"SNA","SFO","3840","66586","60435","1192"
"SNA","SJC","5435","49720","49270","1095"
"SNA","SLC","1451","14900","16322","316"
"SNA","SMF","1560","13239","12254","286"
"SNA","STL","975","1760","3427","113"
"SRQ","ATL","2174","15357","15437","406"
"SRQ","CLE","140","-222","299","10"
"SRQ","CLT","1196","3678","2031","134"
"SRQ","CVG","274","285","1773","25"
"SRQ","DTW","306","2946","4235","42"
"SRQ","EWR","467","3329","5267","94"
"SRQ","IAH","122","-490","-168","6"
"SRQ","STL","262","1049","651","39"
"STL","ABQ","2437","30796","31155","626"
"STL","ANC","105","1317","1041","33"
"STL","ATL","4963","44388","52066","1077"
"STL","AUS","1398","18512","18613","369"
"STL","BDL","1457","16287","17040","332"
"STL","BHM","365","599","2439","46"
"STL","BNA","2051","12029","17051","331"
"STL","BOS","2170","35375","29333","684"
"STL","BWI","3226","31334","36033","687"
"STL","CID","2484","15847","20707","394"
"STL","CLE","2875","36353","38379","715"
"STL","CLT","2984","24758","25663","585"
"STL","CMH","2831","31906","34106","644"
"STL","COS","822","9496","10149","169"
"STL","CVG","1166","8249","8085","211"
"STL","DAY","1684","12604","17094","307"
"STL","DCA","2421","17059","20425","435"
"STL","DEN","3605","55536","53438","994"
"STL","DFW","6054","34170","46143","1069"
"STL","DSM","2069","18353","20622","388"
"STL","DTW","6150","51923","67606","1197"
"STL","ELP","182","1261","1842","30"
"STL","EWR","2547","40259","40309","756"
"STL","FLL","1328","11555","15647","295"
"STL","FSD","1069","8593","9936","206"
"STL","HDN","98","276","707","17"
"STL","HNL","366","3788","5409","105"
"STL","HOU","3158","25609","46575","669"
"STL","IAD","1565","12695","14030","313"
"STL","IAH","2418","20902","22158","514"
"STL","ICT","2057","14793","17131","381"
"STL","IND","3823","39687","43136","820"
"STL","JAX","1091","9273","12948","200"
"STL","JFK","1483","17875","21117","368"
"STL","LAS","1893","26620","25241","581"
"STL","LAX","2904","40085","41941","874"
"STL","LGA","2569","51458","47950","991"
"STL","LIT","3438","38751","45076","798"
"STL","LNK","1283","10317","11391","275"
"STL","MCI","6085","67885","81216","1324"
"STL","MCO","2997","30373","42477","632"
"STL","MDW","5125","63639","64674","1190"
"STL","MEM","494","199","1155","56"
"STL","MIA","1512","10456","15309","299"
"STL","MKE","2118","14796","15837","325"
"STL","MLI","1960","13936","16759","361"
"STL","MSP","4817","26101","34434","817"
"STL","MSY","1709","11508","17120","295"
"STL","OGG","297","4690","6300","91"
"STL","OKC","3067","40566","43969","763"
"STL","OMA","2800","33699","32807","647"
"STL","ONT","902","9596","8711","233"
"STL","ORD","7015","112646","101124","1942"
"STL","ORF","1046","10914","10924","220"
"STL","PBI","361","3722","4709","93"
"STL","PDX","973","15836","13431","349"
"STL","PHL","2613","40566","32771","794"
"STL","PHX","5184","62817","65249","1323"
"STL","PIA","16","-4","105","3"
"STL","PIT","3036","24908","28500","583"
"STL","RDU","1399","16229","17696","297"
"STL","RIC","715","7753","9336","147"
"STL","RNO","120","763","1250","24"
"STL","RSW","1051","6886","9432","194"
"STL","SAN","1474","13345","13946","357"
"STL","SAT","1772","21542","22065","456"
"STL","SDF","3342","27327","32496","596"
"STL","SEA","1937","29966","26791","664"
"STL","SFO","2083","40123","40627","770"
"STL","SGF","2065","13160","17322","335"
"STL","SHV","621","4042","5131","96"
"STL","SJC","948","10199","9873","254"
"STL","SJU","419","2984","3454","95"
"STL","SLC","2108","31638","34261","615"
"STL","SMF","826","13486","13037","246"
"STL","SNA","985","8716","7505","236"
"STL","SRQ","261","2016","3162","48"
"STL","TPA","2359","16960","23752","406"
"STL","TUL","3491","29359","36879","648"
"STL","TYS","914","3719","5665","150"
"STT","ATL","527","205","-488","71"
"STT","BOS","60","-147","384","10"
"STT","EWR","317","1302","1117","70"
"STT","IAD","36","847","877","4"
"STT","JFK","314","1134","3066","49"
"STT","MIA","631","2169","2678","80"
"STT","SJU","519","1930","2168","82"
"STT","STX","366","2795","2906","74"
"STX","MIA","366","1161","1619","55"
"STX","PHL","366","2359","899","78"
"SUX","MSP","691","-1143","446","70"
"SWF","ORD","1278","10544","8709","246"
"SYR","ATL","742","3660","5414","157"
"SYR","CLT","366","2061","1527","53"
"SYR","CVG","695","1003","952","85"
"SYR","DCA","1014","3932","1715","130"
"SYR","DTW","1705","-2118","842","201"
"SYR","MCO","1097","2090","3441","183"
"SYR","ORD","2176","20942","21542","517"
"SYR","PHL","1459","15227","10736","349"
"SYR","PIT","1434","12117","9867","287"
"SYR","ROC","688","2798","3567","98"
"TLH","ATL","2118","16268","17732","402"
"TOL","PIT","901","1374","1341","88"
"TPA","ABQ","365","-2671","527","16"
"TPA","ATL","4641","22530","34832","723"
"TPA","AUS","365","-2341","456","8"
"TPA","BHM","710","3004","4178","79"
"TPA","BNA","1458","4336","9011","161"
"TPA","BOS","2409","35237","36727","671"
"TPA","BWI","3622","37110","46969","709"
"TPA","CLE","963","3135","4071","107"
"TPA","CLT","2540","17962","18134","417"
"TPA","CMH","1430","10816","13997","277"
"TPA","CVG","1481","11984","11937","251"
"TPA","DCA","895","5865","5872","126"
"TPA","DEN","810","14130","12686","249"
"TPA","DFW","3287","23907","26356","541"
"TPA","DTW","1978","8122","12535","280"
"TPA","EWR","2865","43130","49163","762"
"TPA","FLL","4206","46707","50421","855"
"TPA","IAD","1949","22728","26658","454"
"TPA","IAH","2056","8862","12395","254"
"TPA","IND","365","4139","4510","90"
"TPA","ISP","879","1771","7137","112"
"TPA","JAX","803","4774","6894","135"
"TPA","JFK","702","4586","6471","92"
"TPA","LAS","783","4465","6918","161"
"TPA","LAX","852","4668","5850","194"
"TPA","LGA","2429","56774","48103","971"
"TPA","MCI","366","1523","3774","56"
"TPA","MCO","197","570","533","17"
"TPA","MDW","658","-4899","2509","36"
"TPA","MEM","1108","-192","2340","101"
"TPA","MIA","1096","7636","11269","178"
"TPA","MSP","1051","1406","6156","154"
"TPA","MSY","2009","12989","22694","354"
"TPA","ORD","2774","55131","46897","844"
"TPA","PBI","356","1098","535","39"
"TPA","PHL","2892","42795","33959","773"
"TPA","PHX","366","2411","7178","87"
"TPA","PIT","1926","25089","21889","493"
"TPA","PVD","745","-142","4411","66"
"TPA","RDU","784","3027","6320","110"
"TPA","SAT","366","24","3008","50"
"TPA","SDF","365","-1256","288","6"
"TPA","SJU","384","66","1625","29"
"TPA","STL","2358","12381","13410","367"
"TRI","CLT","1152","2309","394","108"
"TUL","ATL","1396","4313","9344","208"
"TUL","DAL","3003","24480","29091","524"
"TUL","DEN","1410","18841","15648","334"
"TUL","DFW","2109","6210","9330","217"
"TUL","HOU","1677","14656","17072","322"
"TUL","IAH","1652","8239","8240","188"
"TUL","LAS","107","-377","513","9"
"TUL","LAX","61","409","283","12"
"TUL","MCI","1385","9812","11006","222"
"TUL","OKC","762","8424","8583","210"
"TUL","ORD","1498","22395","19508","385"
"TUL","PHX","1069","8940","12314","211"
"TUL","SLC","362","383","846","29"
"TUL","STL","3451","19004","27431","510"
"TUS","ABQ","366","3184","4997","86"
"TUS","CVG","724","32","1577","79"
"TUS","DEN","1277","14873","14005","278"
"TUS","DFW","3308","15307","13389","392"
"TUS","EWR","52","326","377","10"
"TUS","IAH","827","3966","4621","104"
"TUS","LAS","1441","14035","15421","325"
"TUS","LAX","3544","54426","58356","1111"
"TUS","MSP","504","44","2981","65"
"TUS","ORD","1382","14691","16287","341"
"TUS","PHX","4955","30607","25463","763"
"TUS","SAN","1093","7367","8706","203"
"TUS","SEA","182","2772","2263","55"
"TUS","SJC","92","-151","579","14"
"TUS","SLC","362","4268","3768","81"
"TVC","DTW","963","7093","7140","157"
"TVC","MSP","148","601","920","22"
"TYS","ATL","2485","11907","21326","438"
"TYS","CLT","1384","3947","4822","151"
"TYS","DFW","608","2001","1715","73"
"TYS","DTW","379","1108","318","39"
"TYS","MEM","148","343","608","17"
"TYS","ORD","1030","19816","16346","289"
"TYS","STL","915","5719","4013","115"
"VPS","MEM","1310","546","1295","102"
"WRG","KTN","364","1606","1772","75"
"WRG","PSG","364","5866","6052","95"
"YAK","CDV","364","6017","6372","102"
"YAK","JNU","364","3815","3883","71"
